healpix,trig_no,time,coverage
None,523474232,None,None
None,523576346,None,None
None,523661874,None,None
None,523848854,None,None
None,523924068,None,None
None,524095306,None,None
None,524279593,None,None
None,524493492,None,None
None,524556676,None,None
None,524586188,None,None
None,524666471,None,None
None,524699259,None,None
None,524719044,None,None
None,524989325,None,None
None,525338526,None,None
None,525355210,None,None
None,525379756,None,None
None,525430272,None,None
None,525469141,None,None
None,525555489,None,None
None,525693395,None,None
None,525715808,None,None
None,525749929,None,None
None,525755646,None,None
None,525772316,None,None
None,525845896,None,None
None,525917408,None,None
None,525938872,None,None
None,525946619,None,None
None,526135752,None,None
None,526351393,None,None
None,526352145,None,None
None,526390701,None,None
None,526726205,None,None
None,526803867,None,None
None,526890831,None,None
None,526952297,None,None
None,527140295,None,None
None,527171301,None,None
None,527273256,None,None
None,527397627,None,None
None,527659336,None,None
None,527826305,None,None
None,527833870,None,None
None,527866539,None,None
None,528122386,None,None
None,528208493,None,None
None,528217663,None,None
None,528302092,None,None
None,528380344,None,None
None,528396381,None,None
None,528678918,None,None
None,528826041,None,None
None,528842020,None,None
None,529070264,None,None
None,529120483,None,None
None,529211905,None,None
None,529354855,None,None
None,529386769,None,None
None,529442792,None,None
None,529575887,None,None
None,529962288,None,None
None,530220637,None,None
None,530330588,None,None
None,530399665,None,None
None,530417991,None,None
None,530580444,None,None
None,530600819,None,None
None,530618345,None,None
None,530661298,None,None
None,530929734,None,None
None,531077390,None,None
None,531092162,None,None
None,531225917,None,None
None,531236667,None,None
None,531239007,None,None
None,531282820,None,None
None,531291500,None,None
None,531297986,None,None
None,531331856,None,None
None,531340190,None,None
None,531353355,None,None
None,531368024,None,None
None,531375070,None,None
None,531377549,None,None
None,531386404,None,None
None,531387092,None,None
None,531387782,None,None
None,531388607,None,None
None,531389394,None,None
None,531398967,None,None
None,531399606,None,None
None,531410143,None,None
None,531410978,None,None
None,531411637,None,None
None,531416635,None,None
None,531431372,None,None
None,531432020,None,None
None,531433221,None,None
None,531435464,None,None
None,531436113,None,None
None,531436792,None,None
None,531443246,None,None
None,531444171,None,None
None,531455747,None,None
None,531466578,None,None
None,531468900,None,None
None,531477762,None,None
None,531480132,None,None
None,531490851,None,None
None,531501209,None,None
None,531502478,None,None
None,531513651,None,None
None,531523454,None,None
None,531527408,None,None
None,531546351,None,None
None,531547520,None,None
None,531559418,None,None
None,531561228,None,None
None,531568801,None,None
None,531570373,None,None
None,531571592,None,None
None,531582694,None,None
None,531584130,None,None
None,531591416,None,None
None,531593894,None,None
None,531614385,None,None
None,531615161,None,None
None,531619262,None,None
None,531626263,None,None
None,531628709,None,None
None,531640821,None,None
None,531648363,None,None
None,531649198,None,None
None,531650603,None,None
None,531662214,None,None
None,531671605,None,None
None,531673214,None,None
None,531675034,None,None
None,531682515,None,None
None,531683213,None,None
None,531684118,None,None
None,531684835,None,None
None,531686417,None,None
None,531687421,None,None
None,531694075,None,None
None,531695313,None,None
None,531698713,None,None
None,531732460,None,None
None,531742524,None,None
None,531743173,None,None
None,531773935,None,None
None,531775714,None,None
None,531821647,None,None
None,531824301,None,None
None,531847373,None,None
None,531848691,None,None
None,532212622,None,None
None,532614103,None,None
None,532828112,None,None
None,533194681,None,None
None,533365835,None,None
None,533367528,None,None
None,533785065,None,None
None,533875351,None,None
None,534221749,None,None
None,534302327,None,None
None,534311899,None,None
None,534367469,None,None
None,534447354,None,None
None,534528400,None,None
None,534599360,None,None
None,534716163,None,None
None,534748819,None,None
None,534767063,None,None
None,534821250,None,None
None,535049730,None,None
None,535358542,None,None
None,535750700,None,None
None,536025618,None,None
None,536288993,None,None
None,536295091,None,None
None,536367334,None,None
None,536600992,None,None
None,536638157,None,None
None,537287764,None,None
None,537392045,None,None
